ID;Classificacao;Justificativa
1;PUBLICO;Nenhum dado sensível encontrado
2;PUBLICO;Nenhum dado sensível encontrado
3;PUBLICO;Nenhum dado sensível encontrado
4;PUBLICO;Nenhum dado sensível encontrado
5;PUBLICO;Nenhum dado sensível encontrado
6;PUBLICO;Nenhum dado sensível encontrado
7;RESTRITO;CPF Detectado
8;RESTRITO;Possível Nome Pessoal (IA)
9;PUBLICO;Nenhum dado sensível encontrado
10;RESTRITO;CPF Detectado
11;PUBLICO;Nenhum dado sensível encontrado
12;PUBLICO;Nenhum dado sensível encontrado
13;RESTRITO;Possível Nome Pessoal (IA)
14;RESTRITO;Possível Nome Pessoal (IA)
15;PUBLICO;Nenhum dado sensível encontrado
16;PUBLICO;Nenhum dado sensível encontrado
17;RESTRITO;CPF Detectado
18;PUBLICO;Nenhum dado sensível encontrado
19;RESTRITO;Possível Nome Pessoal (IA)
20;PUBLICO;Nenhum dado sensível encontrado
21;PUBLICO;Nenhum dado sensível encontrado
22;PUBLICO;Nenhum dado sensível encontrado
23;RESTRITO;Possível Nome Pessoal (IA)
24;PUBLICO;Nenhum dado sensível encontrado
25;PUBLICO;Nenhum dado sensível encontrado
26;RESTRITO;Possível Nome Pessoal (IA)
27;PUBLICO;Nenhum dado sensível encontrado
28;RESTRITO;CPF Detectado
29;RESTRITO;CPF Detectado
30;PUBLICO;Nenhum dado sensível encontrado
31;PUBLICO;Nenhum dado sensível encontrado
32;PUBLICO;Nenhum dado sensível encontrado
33;PUBLICO;Nenhum dado sensível encontrado
34;RESTRITO;Possível Nome Pessoal (IA)
35;RESTRITO;CPF Detectado
36;PUBLICO;Nenhum dado sensível encontrado
37;RESTRITO;CPF Detectado
38;PUBLICO;Nenhum dado sensível encontrado
39;PUBLICO;Nenhum dado sensível encontrado
40;PUBLICO;Nenhum dado sensível encontrado
41;PUBLICO;Nenhum dado sensível encontrado
42;RESTRITO;CPF Detectado
43;PUBLICO;Nenhum dado sensível encontrado
44;RESTRITO;Possível Nome Pessoal (IA)
45;PUBLICO;Nenhum dado sensível encontrado
46;PUBLICO;Nenhum dado sensível encontrado
47;RESTRITO;Possível Nome Pessoal (IA)
48;PUBLICO;Nenhum dado sensível encontrado
49;PUBLICO;Nenhum dado sensível encontrado
50;RESTRITO;CPF Detectado
51;RESTRITO;Telefone Detectado
52;RESTRITO;Possível Nome Pessoal (IA)
53;PUBLICO;Nenhum dado sensível encontrado
54;RESTRITO;Email Detectado
55;PUBLICO;Nenhum dado sensível encontrado
56;PUBLICO;Nenhum dado sensível encontrado
57;PUBLICO;Nenhum dado sensível encontrado
58;PUBLICO;Nenhum dado sensível encontrado
59;RESTRITO;CPF Detectado
60;RESTRITO;Email Detectado
61;RESTRITO;CPF Detectado
62;RESTRITO;Telefone Detectado
63;PUBLICO;Nenhum dado sensível encontrado
64;PUBLICO;Nenhum dado sensível encontrado
65;RESTRITO;Possível Nome Pessoal (IA)
66;PUBLICO;Nenhum dado sensível encontrado
67;PUBLICO;Nenhum dado sensível encontrado
68;PUBLICO;Nenhum dado sensível encontrado
69;RESTRITO;Possível Nome Pessoal (IA)
70;PUBLICO;Nenhum dado sensível encontrado
71;PUBLICO;Nenhum dado sensível encontrado
72;PUBLICO;Nenhum dado sensível encontrado
73;RESTRITO;CPF Detectado
74;PUBLICO;Nenhum dado sensível encontrado
75;PUBLICO;Nenhum dado sensível encontrado
76;RESTRITO;Possível Nome Pessoal (IA)
77;RESTRITO;CPF Detectado
78;RESTRITO;Possível Nome Pessoal (IA)
79;RESTRITO;CPF Detectado
80;PUBLICO;Nenhum dado sensível encontrado
81;PUBLICO;Nenhum dado sensível encontrado
82;PUBLICO;Nenhum dado sensível encontrado
83;PUBLICO;Nenhum dado sensível encontrado
84;RESTRITO;Telefone Detectado
85;RESTRITO;CPF Detectado
86;PUBLICO;Nenhum dado sensível encontrado
87;RESTRITO;Possível Nome Pessoal (IA)
88;PUBLICO;Nenhum dado sensível encontrado
89;PUBLICO;Nenhum dado sensível encontrado
90;RESTRITO;Possível Nome Pessoal (IA)
91;PUBLICO;Nenhum dado sensível encontrado
92;PUBLICO;Nenhum dado sensível encontrado
93;PUBLICO;Nenhum dado sensível encontrado
94;PUBLICO;Nenhum dado sensível encontrado
95;RESTRITO;Email Detectado
96;PUBLICO;Nenhum dado sensível encontrado
97;RESTRITO;CPF Detectado
98;PUBLICO;Nenhum dado sensível encontrado
99;RESTRITO;CPF Detectado
